date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:53:42	364373/364373	---MCZ	200	added ('OK')	text/html	etag:W/%22678a0224-58f55%22	https://www.odoo.com/documentation/18.0/applications.html	/opt/jjss/odoo18web/odoo_doc_offline/www.odoo.com/documentation/18.0/applications.html	(from )
16:53:43	709/709	---MCZ	200	added ('OK')	text/plain	date:Fri,%2017%20Jan%202025%2019:53:43%20GMT	https://www.odoo.com/robots.txt		(from )
16:53:45	4146/4146	---MCZ	200	added ('OK')	text/css	etag:W/%22678a028c-1032%22	https://www.odoo.com/documentation/18.0/_static/pygments.css	/opt/jjss/odoo18web/odoo_doc_offline/www.odoo.com/documentation/18.0/_static/pygments.css	(from https://www.odoo.com/documentation/18.0/applications.html)
16:53:46	338437/338437	---MCZ	200	added ('OK')	text/css	etag:W/%22678a0216-52a05%22	https://www.odoo.com/documentation/18.0/_static/style.css	/opt/jjss/odoo18web/odoo_doc_offline/www.odoo.com/documentation/18.0/_static/style.css	(from https://www.odoo.com/documentation/18.0/applications.html)
16:53:47	299/299	---MCZ	200	added ('OK')	text/css	etag:W/%2266c302db-12b%22	https://www.odoo.com/documentation/18.0/_static/graphviz.css	/opt/jjss/odoo18web/odoo_doc_offline/www.odoo.com/documentation/18.0/_static/graphviz.css	(from https://www.odoo.com/documentation/18.0/applications.html)
16:53:48	352/352	---MCZ	200	added ('OK')	application/javascript	etag:W/%22678a028c-160%22	https://www.odoo.com/documentation/18.0/_static/documentation_options.js	/opt/jjss/odoo18web/odoo_doc_offline/www.odoo.com/documentation/18.0/_static/documentation_options.js	(from https://www.odoo.com/documentation/18.0/applications.html)
16:53:50	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266c302db-15d84%22	https://www.odoo.com/documentation/18.0/_static/jquery.js	/opt/jjss/odoo18web/odoo_doc_offline/www.odoo.com/documentation/18.0/_static/jquery.js	(from https://www.odoo.com/documentation/18.0/applications.html)
16:53:51	19530/19530	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266c302db-4c4a%22	https://www.odoo.com/documentation/18.0/_static/underscore.js	/opt/jjss/odoo18web/odoo_doc_offline/www.odoo.com/documentation/18.0/_static/underscore.js	(from https://www.odoo.com/documentation/18.0/applications.html)
16:53:52	9630/9630	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266c302db-259e%22	https://www.odoo.com/documentation/18.0/_static/doctools.js	/opt/jjss/odoo18web/odoo_doc_offline/www.odoo.com/documentation/18.0/_static/doctools.js	(from https://www.odoo.com/documentation/18.0/applications.html)
16:53:56	8051/8051	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266e2692a-1f73%22	https://www.odoo.com/documentation/18.0/_static/js/utils.js	/opt/jjss/odoo18web/odoo_doc_offline/www.odoo.com/documentation/18.0/_static/js/utils.js	(from https://www.odoo.com/documentation/18.0/applications.html)
16:53:58	2735/2735	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266e2692a-aaf%22	https://www.odoo.com/documentation/18.0/_static/js/layout.js	/opt/jjss/odoo18web/odoo_doc_offline/www.odoo.com/documentation/18.0/_static/js/layout.js	(from https://www.odoo.com/documentation/18.0/applications.html)
16:53:59	4968/4968	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266e2692a-1368%22	https://www.odoo.com/documentation/18.0/_static/js/menu.js	/opt/jjss/odoo18web/odoo_doc_offline/www.odoo.com/documentation/18.0/_static/js/menu.js	(from https://www.odoo.com/documentation/18.0/applications.html)
16:54:01	6027/6027	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266e2692a-178b%22	https://www.odoo.com/documentation/18.0/_static/js/page_toc.js	/opt/jjss/odoo18web/odoo_doc_offline/www.odoo.com/documentation/18.0/_static/js/page_toc.js	(from https://www.odoo.com/documentation/18.0/applications.html)
16:54:02	1233/1233	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266e2692a-4d1%22	https://www.odoo.com/documentation/18.0/_static/js/switchers.js	/opt/jjss/odoo18web/odoo_doc_offline/www.odoo.com/documentation/18.0/_static/js/switchers.js	(from https://www.odoo.com/documentation/18.0/applications.html)
16:54:03	1321/1321	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2017%20Jan%202025%2019:54:02%20GMT	https://internal-analytics.odoo.com/js/plausible.js	/opt/jjss/odoo18web/odoo_doc_offline/internal-analytics.odoo.com/js/plausible.js	(from https://www.odoo.com/documentation/18.0/applications.html)
16:54:03	80217/80217	---MCZ	200	added ('OK')	application/javascript	etag:W/%2213959-wU1JYET6lDtu5Q6aYn/N6BT6oLY%22	https://cdn.jsdelivr.net/npm/bootstrap@5.0.0-beta2/dist/js/bootstrap.bundle.min.js	/opt/jjss/odoo18web/odoo_doc_offline/cdn.jsdelivr.net/npm/bootstrap@5.0.0-beta2/dist/js/bootstrap.bundle.min.js	(from https://www.odoo.com/documentation/18.0/applications.html)
